6.62,2023-02-04 21:18:21.899286
5.0,2023-02-04 21:18:27.235930
10.17,2023-02-04 21:18:38.015412
32.92,2023-02-04 21:28:23.368054
22.58,2023-02-04 21:32:39.642437
32.46,2023-02-04 21:49:38.214127
17.62,2023-02-04 21:49:57.371072
36.88,2023-02-04 21:50:37.305894
26.71,2023-02-04 21:57:22.392095
25.12,2023-02-04 21:57:49.678454
21.17,2023-02-04 21:58:12.646532
36.08,2023-02-04 21:58:51.774208
18.88,2023-02-04 21:59:12.306689
14.92,2023-02-04 21:59:28.542435
18.5,2023-02-04 21:59:48.662076
24.25,2023-02-04 22:00:14.991347
25.71,2023-02-04 22:00:42.916263
16.33,2023-02-04 22:01:00.703963
32.29,2023-02-04 22:01:35.713111
33.71,2023-02-04 22:02:12.293795
26.17,2023-02-04 22:02:40.726433
13.62,2023-02-04 22:02:55.542303
26.12,2023-02-04 22:03:23.832022
17.42,2023-02-04 22:03:42.751953
29.38,2023-02-04 22:04:14.602734
27.58,2023-02-04 22:04:44.552566
32.42,2023-02-04 22:05:19.722990
15.38,2023-02-04 22:05:36.429078
21.12,2023-02-04 22:05:59.352221
24.88,2023-02-04 22:06:26.327366
24.5,2023-02-04 22:06:52.919593
25.92,2023-02-04 22:07:21.032522
13.29,2023-02-04 22:07:35.491805
26.29,2023-02-04 22:08:03.992554
2.42,2023-02-04 22:08:06.672256
20.29,2023-02-04 22:08:28.683196
15.12,2023-02-04 22:08:45.124217
13.38,2023-02-04 22:08:59.665522
14.92,2023-02-04 22:09:15.884481
22.38,2023-02-04 22:09:40.154364
39.04,2023-02-04 22:10:22.412963
0.83,2023-02-04 22:24:36.629141
4.17,2023-02-04 22:25:30.668071
34.62,2023-02-04 22:28:14.066562
19.25,2023-02-05 14:08:33.676323
31.46,2023-02-05 14:09:07.926076
1.04,2023-02-05 14:09:09.087108
36.17,2023-02-05 14:09:48.413923
9.33,2023-02-05 14:09:58.633397
13.96,2023-02-05 14:10:13.840757
16.33,2023-02-05 14:10:31.657517
25.88,2023-02-05 14:10:59.794602
13.5,2023-02-05 14:11:14.517864
18.5,2023-02-05 14:11:34.633815
32.79,2023-02-05 14:12:10.249895
18.5,2023-02-05 14:12:30.432211
34.67,2023-02-05 14:13:08.119784
5.17,2023-02-05 14:13:13.833104
34.42,2023-02-05 14:13:51.202158
23.54,2023-02-05 14:14:16.839750
29.5,2023-02-05 14:14:48.930777
10.33,2023-02-05 14:15:00.308722
14.21,2023-02-05 14:21:37.540763
5.08,2023-02-05 15:36:13.314614
12.12,2023-02-05 15:38:13.296917
12.17,2023-02-05 15:38:13.348604
12.21,2023-02-05 15:38:13.400853
12.25,2023-02-05 15:38:13.449942
12.29,2023-02-05 15:38:13.499988
12.33,2023-02-05 15:38:13.550240
12.38,2023-02-05 15:38:13.600588
12.42,2023-02-05 15:38:13.651531
12.46,2023-02-05 15:38:13.701320
12.5,2023-02-05 15:38:13.751279
12.54,2023-02-05 15:38:13.800979
12.58,2023-02-05 15:38:13.850639
12.62,2023-02-05 15:38:13.900485
12.67,2023-02-05 15:38:13.951473
12.71,2023-02-05 15:38:14.002339
12.75,2023-02-05 15:38:14.055007
12.79,2023-02-05 15:38:14.105882
12.83,2023-02-05 15:38:14.156053
12.88,2023-02-05 15:38:14.205820
12.92,2023-02-05 15:38:14.256113
12.96,2023-02-05 15:38:14.306665
13.0,2023-02-05 15:38:14.357351
13.04,2023-02-05 15:38:14.407410
13.08,2023-02-05 15:38:14.457535
13.12,2023-02-05 15:38:14.508088
13.17,2023-02-05 15:38:14.557052
13.21,2023-02-05 15:38:14.607914
13.25,2023-02-05 15:38:14.658423
13.29,2023-02-05 15:38:14.708029
13.33,2023-02-05 15:38:14.757521
13.38,2023-02-05 15:38:14.806472
13.42,2023-02-05 15:38:14.856589
13.46,2023-02-05 15:38:14.906690
13.5,2023-02-05 15:38:14.955924
13.54,2023-02-05 15:38:15.007386
13.58,2023-02-05 15:38:15.056899
13.62,2023-02-05 15:38:15.109412
13.67,2023-02-05 15:38:15.158886
13.71,2023-02-05 15:38:15.208537
13.75,2023-02-05 15:38:15.258388
13.79,2023-02-05 15:38:15.308491
13.83,2023-02-05 15:38:15.358793
13.88,2023-02-05 15:38:15.408745
13.92,2023-02-05 15:38:15.457964
13.96,2023-02-05 15:38:15.506841
14.0,2023-02-05 15:38:15.556837
14.04,2023-02-05 15:38:15.606732
14.08,2023-02-05 15:38:15.656390
14.12,2023-02-05 15:38:15.704927
14.17,2023-02-05 15:38:15.755749
14.21,2023-02-05 15:38:15.806172
14.25,2023-02-05 15:38:15.857062
14.29,2023-02-05 15:38:15.909756
14.33,2023-02-05 15:38:15.959937
14.38,2023-02-05 15:38:16.010080
14.42,2023-02-05 15:38:16.060475
14.46,2023-02-05 15:38:16.109333
14.5,2023-02-05 15:38:16.159955
14.54,2023-02-05 15:38:16.209598
14.58,2023-02-05 15:38:16.258558
14.62,2023-02-05 15:38:16.307614
14.67,2023-02-05 15:38:16.355702
14.71,2023-02-05 15:38:16.403784
14.75,2023-02-05 15:38:16.452058
14.79,2023-02-05 15:38:16.500555
14.83,2023-02-05 15:38:16.550479
14.88,2023-02-05 15:38:16.598800
14.92,2023-02-05 15:38:16.647581
14.96,2023-02-05 15:38:16.697291
15.0,2023-02-05 15:38:16.745582
15.04,2023-02-05 15:38:16.795287
15.08,2023-02-05 15:38:16.845440
15.12,2023-02-05 15:38:16.894700
15.17,2023-02-05 15:38:16.944043
15.21,2023-02-05 15:38:16.994780
15.25,2023-02-05 15:38:17.044973
15.29,2023-02-05 15:38:17.095241
15.33,2023-02-05 15:38:17.144948
15.38,2023-02-05 15:38:17.194127
15.42,2023-02-05 15:38:17.243998
15.46,2023-02-05 15:38:17.294823
15.5,2023-02-05 15:38:17.344708
15.54,2023-02-05 15:38:17.393847
15.58,2023-02-05 15:38:17.443192
15.62,2023-02-05 15:38:17.493748
15.67,2023-02-05 15:38:17.542107
15.71,2023-02-05 15:38:17.591882
15.75,2023-02-05 15:38:17.642557
15.79,2023-02-05 15:38:17.692605
15.83,2023-02-05 15:38:17.741490
15.88,2023-02-05 15:38:17.791007
15.92,2023-02-05 15:38:17.839771
15.96,2023-02-05 15:38:17.888571
16.0,2023-02-05 15:38:17.937929
16.04,2023-02-05 15:38:17.986815
16.08,2023-02-05 15:38:18.034682
16.12,2023-02-05 15:38:18.083671
16.17,2023-02-05 15:38:18.187979
4.96,2023-02-05 15:38:42.743625
1.5,2023-02-05 15:38:44.407709
4.92,2023-02-05 15:38:51.664813
6.12,2023-02-05 15:38:58.378119
1.5,2023-02-05 15:39:03.502379
2.5,2023-02-05 15:41:05.136164
3.79,2023-02-05 15:41:11.358037
1.38,2023-02-05 15:41:12.884741
22.75,2023-02-05 19:29:03.089214
25.83,2023-02-05 19:32:42.637257
22.83,2023-02-05 19:33:07.567524
2.96,2023-02-05 19:33:10.889187
21.0,2023-02-05 19:33:33.717289
42.46,2023-02-05 19:34:19.891805
19.62,2023-02-05 19:34:41.302178
1.79,2023-02-05 20:32:11.351066
9.33,2023-02-05 20:34:38.870710
7.83,2023-02-05 21:01:16.902040
9.38,2023-02-05 21:10:39.408601
2.67,2023-02-05 21:10:48.506031
6.79,2023-02-05 21:12:06.422733
3.12,2023-02-05 21:14:08.299481
